parameter,location,species,year,datavalue
LGL counts,Douglas-Gardner,Chum,1954,123741
LGL counts,Douglas-Gardner,Chum,1955,71314
LGL counts,Douglas-Gardner,Chum,1956,49971
LGL counts,Douglas-Gardner,Chum,1957,93125
LGL counts,Douglas-Gardner,Chum,1958,189723
LGL counts,Douglas-Gardner,Chum,1959,37175
LGL counts,Douglas-Gardner,Chum,1960,110888
LGL counts,Douglas-Gardner,Chum,1961,58179
LGL counts,Douglas-Gardner,Chum,1962,240921
LGL counts,Douglas-Gardner,Chum,1963,181838
LGL counts,Douglas-Gardner,Chum,1964,183243
LGL counts,Douglas-Gardner,Chum,1965,152694
LGL counts,Douglas-Gardner,Chum,1966,574084
LGL counts,Douglas-Gardner,Chum,1967,415676
LGL counts,Douglas-Gardner,Chum,1968,721249
LGL counts,Douglas-Gardner,Chum,1969,77807
LGL counts,Douglas-Gardner,Chum,1970,77488
LGL counts,Douglas-Gardner,Chum,1971,71556
LGL counts,Douglas-Gardner,Chum,1972,344398
LGL counts,Douglas-Gardner,Chum,1973,346966
LGL counts,Douglas-Gardner,Chum,1974,352373
LGL counts,Douglas-Gardner,Chum,1975,75671
LGL counts,Douglas-Gardner,Chum,1976,75023
LGL counts,Douglas-Gardner,Chum,1977,83805
LGL counts,Douglas-Gardner,Chum,1978,262421
LGL counts,Douglas-Gardner,Chum,1979,108287
LGL counts,Douglas-Gardner,Chum,1980,118494
LGL counts,Douglas-Gardner,Chum,1981,80864
LGL counts,Douglas-Gardner,Chum,1982,126120
LGL counts,Douglas-Gardner,Chum,1983,23615
LGL counts,Douglas-Gardner,Chum,1984,114251
LGL counts,Douglas-Gardner,Chum,1985,213268
LGL counts,Douglas-Gardner,Chum,1986,292683
LGL counts,Douglas-Gardner,Chum,1987,99866
LGL counts,Douglas-Gardner,Chum,1988,570249
LGL counts,Douglas-Gardner,Chum,1989,353221
LGL counts,Douglas-Gardner,Chum,1990,453760
LGL counts,Douglas-Gardner,Chum,1991,194212
LGL counts,Douglas-Gardner,Chum,1992,144020
LGL counts,Douglas-Gardner,Chum,1993,183787
LGL counts,Douglas-Gardner,Chum,1994,384346
LGL counts,Douglas-Gardner,Chum,1995,516271
LGL counts,Douglas-Gardner,Chum,1996,158786
LGL counts,Douglas-Gardner,Chum,1997,105816
LGL counts,Douglas-Gardner,Chum,1998,1146392
LGL counts,Douglas-Gardner,Chum,1999,162436
LGL counts,Douglas-Gardner,Chum,2000,140225
LGL counts,Douglas-Gardner,Chum,2001,167955
LGL counts,Douglas-Gardner,Chum,2002,803495
LGL counts,Douglas-Gardner,Chum,2003,663756
LGL counts,Douglas-Gardner,Chum,2004,392041
LGL counts,Douglas-Gardner,Chum,2005,147367
LGL counts,Douglas-Gardner,Chum,2006,365796
LGL counts,Douglas-Gardner,Chum,2007,93833
LGL counts,Douglas-Gardner,Chum,2008,21134
LGL counts,Douglas-Gardner,Chum,2009,80214
LGL counts,Douglas-Gardner,Chum,2010,24975
LGL counts,Douglas-Gardner,Chum,2011,262423
LGL counts,Douglas-Gardner,Chum,2012,375985
LGL counts,Douglas-Gardner,Chum,2013,48527
LGL counts,Douglas-Gardner,Chum,2014,68219
LGL counts,Douglas-Gardner,Chum,2015,564621
LGL counts,Douglas-Gardner,Chum,2016,329267
LGL counts,Douglas-Gardner,Chum,2017,42969
